question,answer
Is this a cultural good?,Yes
Is this a legal commerical airport?,Are there  adequate toilet facilities approved by the proper authority in the community in which the commercial airport is located?
Can I qualify for Working Tax Credit?,Are you over 25 and don't have children?
Will suspending the deduction help to avoid an over payment?,Yes
Am I eligible to claim Child Tax Credit?,No
Do I need a licence to export these chemicals?,Yes
Is the Centrepay support service available right now?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",No
Do I need a certificate or to follow special rules to export this product?,Yes
Can I be a designated provider for this person?,No
Can I use the loan for this expense?,Yes
Am I eligible for the Parenting Payment?,No
Do I need to wear a seat belt?,Yes
Am I entitled to the correct minimum wage,Are you a foreign worker?
Can this fund help me?,Do you want to improve existing conservation systems and adopt additional conservation activities to address priority resources concerns?
Can I increase my basic State Pension?,Are you not eligible for the full amount?
Am I eligible for the SBA 7(a) program?,Does the business already have the internal resources (business or personal) to provide the financing?
Do I qualify for Working Tax Credit?,Does your self-employed work aim to make a profit?
Do I pay a fee of 1.75% of the loan’s value?,Is it the sixth year?
Can my Business use Centrepay?,Will you keep records of your customer’s Centrepay payments for up to 2 years and store them securely?
Do I need to wear a seat belt?,No
Can I get Crisis Payment?,Have you been in prison or psychiatric confinement for 14 days?
Will I be contacted by the Department for Work and Pensions (DWP)?,No
Are there special rules for exporting these chemicals?,No
Can I be a designated provider for this person?,Are you named on the patient's medical marijuana form?
Can the rules be used in this case?,Irrelevant
Do I need to apply for an initial Medicare provider number?,Yes
Can my partner and I claim working tax credit?,Do you work at least 16 hours a week and you’re disabled or aged 60 or above?
Am I entitled to the apprentice rate?,No
Is this income suitable for me?,Yes
Can I use the market value of the property when working out my gain?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I use the loan for this expense?,Yes
Have I logged out properly?,Yes
Can this program help me?,Are you a state?
Do I need to wear a seat belt?,No
Do I need to tell you about social security agreements with other countries?,No
Does this insurance cover my need?,No
Do I qualify for relief for most of the time I live away,No
Can ALE help this organisation?,Is the organisation a non-governmental organization trying to protect working agricultural lands and limit non-agricultural uses of the land?
Can my Business use Centrepay?,Do you have licensing and accreditation?
Am I eligible?,Are you the child of a Swiss national?
Does this insurance cover this Veteran?,Did the veteran die before the appointment of a guardian or within two years of such appointment?
Is a collateral required?,Yes
Can I get get Paternity Leave or pay?,Irrelevant
Am I entitled to the National Minimum Wage?,Are you a self-employed person running their own business?
Am I entitled to the National Minimum Wage?,No
Can the interet rate be fixed?,No
Can I use the loan for this expense?,Yes
Can I take everything I have in my defined benefit pension?,No
Can this payment be stopped or reduced?,Do you get Statutory Adoption Pay?
Do I pay tax on rent I get from a lodger?,Yes
Can I claim and deal with tax credits for this person?,Are they a child uner 16?
Is this loan for me?,Irrelevant
Does this program meet my needs?,Yes
Am I eligible to claim Child Tax Credit?,Do you have a job?
Can I claim this benefit?,Are you otherwise eligible?
Do I qualify for this program?,Is it under the jurisdiction of an Indian tribe?
Can I obtain an NADL?,"Is the loan for construct, or improve a home on Native American trust land?"
Could I inherit part of or all of my partner’s extra State Pension?,Yes
Can the regular amount of benefit I get be reduced?,Are you still receiving the benefit?
Can I be classed as a worker?,Do you only have a limited right to send someone else to do the work (subcontract)?
Is the MREIDL program suitable for me?,Yes
Will the payments be passed on to my Business?,Yes
Is this a digital service?,Is the service broadcasting?
Do I qualify for this program?,Yes
Can my Business use Centrepay?,Are you anti-hawking?
Can I claim benefits for carers and people with disabilities?,Yes
Am I eligible?,Are you the child of a Turkish worker?
Do I need to ask for mandatory reconsideration?,Yes
Can the Farm Service Agency help me?,Irrelevant
Can I qualify for Working Tax Credit?,Yes
Can I export this product?,Yes
Do I qualify for this benefit program?,Yes
Am I eligible for a Tier 4 (General) student visa?,Do you have an unconditional offer of a place on a course with a licensed Tier 4 sponsor?
Should I apply for the economic injury disaster loan?,No
Do I need a supplier document?,Are you selling any other plant ‘propagation material’ from ornamental plants within the EU?
Can I claim SMP?,Yes
Is our institution eligible?,No
Can I claim and deal with tax credits for this person?,No
Can I use the Capital Gains Tax calculator?,Did you sell business premises or land?
Do I need to wear a seat belt?,No
Will I need my parents' income details?,Irrelevant
Do I need to carry on paying National Insurance?,No
Will I have to pay more tax than I've paid?,No
Do I qualify for this benefit?,Yes
May I be able to get tax credits?,Has your sponsor died?
Do I need a certificate or to follow special rules to export this product?,Are you exporting outside the EU?
Can I get a CAS?,Yes
Do I need to register?,Are you part of a family?
Can I be a designated provider for this person?,No
Does my child qualify for this benefit program?,Yes
Do I need to provide a proof of ownership?,Irrelevant
Does this airport need an airport manager?,No
Am I eligible?,No
Does this insurance cover this Veteran?,Irrelevant
Can I be classed as doing voluntary work?,Yes
Will I be asked questions by this person?,Yes
Do I qualify for this benefit?,No
Can I get tax relief?,Yes
Do I need a plant passport?,Yes
Am I eligible?,Yes
Is my contract legally binding?,No
Can I use the Centrelink Business Online Services today?,No
Do I need to carry on paying National Insurance?,Are you planning to come back to the UK?
Can I qualify for Working Tax Credit?,Yes
Could I inherit part of my deceased partner’s Additional State Pension?,Did your marriage or civil partnership begin before 6 April 2016?
Can I be classed as doing voluntary work?,Are you working for a charity?
Am I eligible for the loan?,Yes
Do I get Winter Fuel Payment automatically?,Yes
Have I contributed through my National Insurance contributions?,Were you caring for a sick or disabled person more than 20 hours a week and claiming Carer’s Credit?
Do I need to wear a seat belt?,No
Can I get Winter Fuel Payment?,Yes
Do I need to wear protective headgear?,Are you using a learner's permit?
Am I eligible for 16 to 19 Bursary Fund?,No
Can the VA help me with this purchase?,Yes
Will I be asked questions by this person?,Yes
Does the SBA disaster assistance meet my needs?,Yes
Can this benefit reduced or stopped?,No
Does this program meet my needs?,Yes
Can I claim bereavement benefits?,Yes
Can I be classified as a worker?,No
Can I use the Capital Gains Tax calculator?,No
Am I entitled to the correct minimum wage for my age?,Irrelevant
Do I have the right to return to my job?,Yes
Does tax relief apply to this?,Is it a pension contribution?
Can I ge the full amount?,Yes
Am I eligible?,No
Can the VA help me with this purchase?,No
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,No
Do need to tell HM Revenue and Customs about this?,No
Am I eligible for 16 to 19 Bursary Fund?,Do you study at a publicly funded school or college?
May I be able to get Child Tax Credit?,Yes
Am I eligible for EIDL?,Are you a small business or private non-profit organization with sustained economic injury?
Can I get a CAS?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Is outpatient dental treatment available to me?,No
Can I export this plant?,No
Do I qualify for this benefit program?,No
Am I eligible?,Are you not a UK national but you’ve lived in the UK for at least 20 years (or at least half of your life)?
Do I need a plant passport?,No
Can this benefit reduced or stopped?,No
Can I apply to extend my leave to study?,Is your sponsor an embedded college offering pathway courses?
Am I eligible for the Parenting Payment?,No
Do I qualify for Guarantee Credit?,No
Do I need a Human Services PKL certificate?,No
Do I qualify for Working Tax Credit?,No
Can I export this plant?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Is it for an Employment and Support Allowance?
Can I deal with the tax credits of someone?,Irrelevant
Can my payments go up?,Did your childcare costs go up?
Am I eligible for an annual lump sum payment ot help with the costs of caring for a person with disability?,No
Can I claim back National Insurance?,Irrelevant
Can I export this product to North Korea?,No
Am I in Priority Group 1-3?,Yes
Does this insurance cover this Veteran?,Did the veteran die before the appointment of a guardian or within two years of such appointment?
Will my right to maternity be affected?,No
Do I have to pay Income Tax on the lump sum?,Yes
Do I need to register?,Are you a couple?
May I be able to get Child Tax Credit?,Are you looking after children?
Can I appoint a Child Support representative?,"Is the person a child who you paid or get child support for, even if they've turned 18?"
Am I entitled to the National Minimum Wage?,No
Can I apply for Working Tax Credit?,Yes
Can I ge the full amount?,No
Could my tax-free allowance increase?,No
Am I eligible for unemployment benefits?,No
Can send the application now?,Yes
Can I get tax credits?,Yes
Am I eligible for the SBA 7(a) program?,No
Could I be eligible for Shared Parental Leave?,No
Could I get Cold Weather Payments?,Yes
May I be able to get Child Tax Credit?,No
Do need to tell HM Revenue and Customs about this?,Yes
Do I need to carry on paying National Insurance?,Yes
Can my Business use Centrepay?,Do you follow financial and privacy laws?
Do I have level 10 authority?,Yes
Do I need a Home Office controlled drug licence to export this drug?,No
Do I qualify for this benefit program?,Are you entitled an equal or higher retirement or disability benefits?
May I be able to get Child Tax Credit?,Has your partner died?
Do I need to carry on paying National Insurance?,Yes
Can I get Winter Fuel Payment?,No
Can I claim this benefit?,No
Can I use the market value of the property when working out my gain?,did you inherit it?
Does this insurance cover this Veteran?,No
Can I get this Child Benefit?,No
Am I eligible for the loan?,"Are you a corporation, limited liability company or other acceptable business entity with no less than 51 percent ownership by Federally recognized American Indians or Alaska Natives?"
Could the adult dependency increase I receive stop?,Has your wife reached state pension age?
May I be able to get Child Tax Credit?,Are you working in the UK?
Am I able to take all the money in my pension as a tax-free lump sum?,Irrelevant
Is this a digital service?,No
Am I qualified for this program?,Yes
May I be able to get Working Tax Credit?,Yes
Do I qualify for assistance?,Are you delinquent on a federal debt?
Can this benefit be reduced or stopped?,No
Do I have to pay Income Tax on the lump sum?,No
Can I apply to this program?,No
Can I ge the full amount?,No
Can I claim this expense?,Yes
Could the adult dependency increase I receive stop?,No
Can I export this product to North Korea?,Is your product truffles or goods containing truffles?
Am I entitled to the National Minimum Wage?,Are you a volunteer or voluntary worker?
Do I need a Home Office controlled drug licence to export this drug?,No
Can I backdate this claim?,Has it been 6 months or less from your date of registration for services?
Will I be asked questions by this person?,"Is this person your representative (if you have one), such as a lawyer, friend, family member or someone from an advice centre?"
Can I get Crisis Payment?,No
May I be able to get Child Tax Credit?,Has your partner died?
Can I claim this benefit?,Are you otherwise eligible?
Can I claim this benefit?,"Do you reside in an EEA country, Switzerland or Gibraltar?"
Does this loan meet my needs?,Do you need long term financing for the cost of fisheries facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Do I qualify for this benefit program?,Irrelevant
Can I be a borrower?,No
Do I need to wear protective headgear?,No
Do I need to ask patients for their bank account details?,No
Can I apply for Working Tax Credit?,Yes
Can I be a designated provider for this person?,No
Am I entitled to the correct minimum wage for my age?,No
Can I claim and deal with tax credits for this person?,Is your child over 16?
Do I need to wear a helmet?,Yes
Can I qualify for a Winter Fuel Payment?,Were you born on or before 5 August 1953?
Can Tax Credit Office ask me to provide details of the day-to-day running of my business?,Irrelevant
Can I apply for a Tier 4 (General) student visa?,Have you been offered a place on a course?
Can I claim SMP?,Yes
Can I claim and deal with tax credits for this person?,Do they both live with you?
Could I receive my widowed parent's Additional State Pension again?,Yes
Am I a eligible for this loan?,"Are you a  farmers, associations of farmers, family farm corporations, Indian tribes, nonprofit organizations, public agencies, or associations of farmworkers?"
Can my au pair be classified as a worker?,No
Can I get Crisis Payment?,Have you been in prison or psychiatric confinement for 14 days?
Does this loan meet my needs?,Do you need long term financing for the cost of fisheries facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Do I need to use TRACES to create a commercial document?,Yes
Am I self-employed?,Yes
Can I use Aged Care Online Claiming?,No
Can I get tax relief?,No
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Yes
Can I claim bereavement benefits?,No
Can I export this product to North Korea?,No
Is this a digital service?,No
Is it my responsibility to contact the office in this situation?,Have your circumstances changed?
Do I need a Human Services PKL certificate?,No
Do I qualify for this benefit program?,No
Can I export this product to North Korea?,No
Do I have to pay tax?,No
Have I contributed through my National Insurance contributions?,Yes
Is this airport manager performing all their duties?,No
Does the loan meet my needs?,Yes
Do I need a supplier document?,Yes
Can I use the Capital Gains Tax calculator?,No
Can I claim bereavement benefits?,No
Does this child qualify for this benefit program?,"Is this child your son, daughter, foster child, brother, sister, stepbrother, stepsister, or a descendant of any of them?"
May I be able to get Working Tax Credi?,Irrelevant
May I qualify for VA health care benefits?,No
Could I be considered as an employer?,No
Can I claim and deal with tax credits for this person?,Are they claiming tax credits for themselves?
Do I need a certificate or to follow special rules to export this product?,No
Have I contributed through my National Insurance contributions?,Yes
Can I apply to extend my leave to study?,No
Can I export this product to North Korea?,Are you exporting a pure bred horse?
Does this loan meet my needs?,No
Can I backdate this claim?,Yes
Can I get a CAS?,No
Can I get a low-interest loan towards my deposit?,No
Can I be considered for this program?,Are you a transitioning Servicemember within six months of discharge from active duty?
Can I get a low-interest loan towards my deposit?,No
Do I have the right to be offered a suitable alternative job?,Yes
Can I use the minimum wage calculator?,No
Can I get Winter Fuel Payment?,No
Can I claim my Medicare benefit?,Is your Medicare online account through MyGov?
Do I have authority to view a care recipient profile?,Yes
Are there special rules for exporting these chemicals?,Yes
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Can I charge or show VAT on my invoices?,Yes
Can I get Working Tax Credit?,No
Can I claim benefits for carers and people with disabilities?,Yes
Can I export this product?,Yes
Can some of my benefit stop?,Yes
Will I get the National Minimum Wage?,Are you on a government or European program?
Is my marijuana cultivation considered cultivation for personal use under this chapter?,Irrelevant
Can I be considered for this program?,Yes
Can my Business use Centrepay?,No
Can I stop paying Class 1 National Insurance?,Have you reached the State Pension age?
Am I entitled to the National Minimum Wage?,No
Am I eligible?,is it at an approved college or training provider in England
Is a collateral required?,Yes
Can this program help me?,"Do you participate in a wide array of voluntary conservation projects for candidate, proposed, and listed species?"
Can I claim this expense?,Yes
Can I be classed as doing voluntary work?,Are you working for a charity?
Am I eligible?,Yes
Can this fund help me?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Is this land eligible for agricultural easements?,Yes
Can I claim this expense?,Is it a travel expense to cover your fare if you get there using public transport?
Can I qualify for a Winter Fuel Payment?,No
Can the VA help me with this purchase?,No
Is this airport manager performing all their duties?,Does the manager shall submit a list of federal aviation registration numbers twice yearly to the department in May and November of all aircraft based at his airport?
Can I use the Capital Gains Tax calculator?,Yes
May I qualify for VA health care benefits?,Yes
Can I claim my Medicare benefit?,Did your doctor's practice help claim it?
Does the loan meet my needs?,Is the loan for working capital?
Can I backdate this claim?,Has it been 4 years or less since your date of registration for goods you still have or goods that were used to make other goods you still have?
Can I use the Capital Gains Tax calculator?,Yes
Am I eligible for the loan?,Are you an individually enrolled member of a Federally recognized American Indian tribe or Alaska Native group?
Do I have to pay tax?,Yes
Can I be classified as a worker?,Yes
Can I get urgent authorisation online?,Irrelevant
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I export this product to North Korea?,No
Is the 7(a) loan program for me?,No
Can I claim bereavement benefits?,Are you in New Zealand?
Can my partner and I claim working tax credit?,Yes
Does my child qualify for this benefit program?,No
Can I grow up to 15 plants?,No
Am I eligible to claim Child Tax Credit?,Have you been living in the UK 3 months before your eligibility?
"Can I file bankruptcy under Chapter 9, 12 or 15?",No
Is this program suitable for me?,No
Can I use the market value of the property when working out my gain?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Do I have to pay back the loan now?,Yes
Can I export this product to North Korea?,No
Do I have authority to lodge data for file upload?,have you received authority from Residential Care level 8?
Am I eligible for the SBA 7(a) program?,No
Is this a digital service?,No
Can I ask for mandatory reconsideration for this benefit?,No
May I be able to get Working Tax Credi?,Yes
Could my tax-free allowance increase?,Yes
Can I claim and deal with tax credits for this person?,Are they a child uner 16?
Can I claim SMP?,Yes
Am I entitled to getting the National Minimum Wage?,Are you an employee?
Are there special rules for exporting these chemicals?,No
Do I need to register for VAT in this country?,Yes
Am I eligible?,Yes
Am I eligible for unemployment benefits?,Did you work in Washington state or were discharged from the military?
Am I eligible for the loan?,Yes
Can I export this product to North Korea?,Yes
Do I qualify for this benefit program?,No
Does this loan meet my needs?,No
Am I eligible for this program?,Do you have at least 3 years history owning or operating  a fishery or comparable project?
Am I eligible for the Parenting Payment?,No
Do I have authority to view a care recipient profile?,Are you Residential Care level 8 and Home Care level 10?
Should I apply for the economic injury disaster loan?,No
Can I claim Medicare without visiting?,Irrelevant
Will I be asked questions by this person?,Yes
Can I increase a deduction?,Is it for more than 13 weeks?
Do these benefits apply to me?,Yes
Am I entitled to the correct minimum wage,No
Does the loan meet my needs?,No
Do I have the right to return to my job?,Have you taken paternity leave?
Do I have to pay tax on the whole lump sum?,Irrelevant
Could I be able to stay longer to continue my course?,Are you in the UK?
Can I get Cold Weather Payments?,Do you have a child under 5 living with you?
Can I stop paying Class 1 National Insurance?,No
Can I apply for a discount?,Are you registered for VAT?
Can I receive Clothing allowance?,No
Do I have the right to return to my job?,Are you on maternity leave?
Am I eligible?,Yes
Can my Business use Centrepay?,Do you follow financial and privacy laws?
Can I have a cooperative in this location?,Yes
Does this child qualify for this benefit program?,Yes
Do I qualify for Working Tax Credit?,No
Can I qualify for Working Tax Credit?,Are you over 25 and don't have children?
Am I required to do Medical examinations and vaccinations?,Irrelevant
Can I get cash assistance from TANF?,Yes
Am I subject to Self-Employment Tax?,Yes
Am I eligible for this program?,No
Can I claim in advance?,Yes
Can I get a CAS?,Yes
Can this benefit reduced or stopped?,Is the benefit a Guardian's allowance?
May I be able to get Child Tax Credit?,No
Does this loan meet my needs?,Yes
Can I use the loan for this expense?,Will it be used for machinery and equipment?
Can I increase my basic State Pension?,Yes
Can I take everything I have in my defined benefit pension?,No
Can I claim this expense?,Is it a travel expense to cover your fare if you get there using public transport?
Do I qualify for Guarantee Credit?,No
Can I apply to extend my leave to study?,Yes
Does this program meet my needs?,No
Can I apply?,Are you a new health professional registered with the Australian Health Practitioner Regulation Agency?
Can I claim bereavement benefits?,No
Can I get help about ‘interviews under caution’ from this organisation?,No
Can I get a CAS?,"Are you intercalated to a medicine, dentistry or medical science course you started studying under a Tier 4 (General) student visa?"
Can I get vulnerable student bursary?,Yes
Should I read the Consumer Leasing Policy?,Yes
Do I qualify for Working Tax Credit?,No
Does this program meet my needs?,No
Does this guide apply to me?,Yes
Am I allowed to authorize the use of marijuana?,No
Am I eligible for a Tier 4 (General) student visa?,Yes
Am I entitled to the National Minimum Wage?,No
Can this benefit reduced or stopped?,Is it your Attendance Allowance?
Is the MREIDL program suitable for me?,No
Is this income suitable for me?,Yes
Do I need to wear a seat belt?,Do you have a disability or other medical condition that makes it unsafe or impossible to wear a seat belt?
Is this program suitable for me?,Irrelevant
Can this payment be stopped or reduced?,No
Am I entitled to the National Minimum Wage?,Are you a self-employed person running their own business?
Can I get the 'top up'?,Yes
Can this program help me?,Yes
Will I get the National Minimum Wage?,Are you on a government or European program?
Can I access Aged Care Online Services?,No
Do I qualify for Working Tax Credit?,"Is your self employed work commercial, regular and organised?"
Can my partner and I claim working tax credit?,"Do you you work at least 16 hours a week and your partner is incapacitated (getting certain benefits because of disability or ill health), is entitled to Carer’s Allowance, or is in hospital or prison"
Am I eligible for this program?,Is the project fully secured with your assets?
Is this child a dependent child?,Irrelevant
Am I entitled to the National Minimum Wage?,No
Does this guide apply to me?,Yes
Am I eligible for the Parenting Payment?,Yes
Can I get vulnerable student bursary?,Do you you get Income Support or Universal Credit in your name?
Is marijuana illegal for me?,Are you under the age of 21?
Can I apply to extend my leave to study?,Yes
Can my employer take this as my resignation?,Are you unreasonably refusing to take the similar job?
Do I need to carry on paying National Insurance?,Are you planning to come back to the UK?
Do I need to carry on paying National Insurance?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Do I need to pay a tax charge?,Yes
Can I ask for mandatory reconsideration now?,No
Will there be any change to the rights and status of me?,Yes
Can I add the cost of this improvement to my loan amount?,No
Can I claim bereavement benefits?,No
Do I need to apply for an initial Medicare provider number?,Yes
Should I file for EAD renewal?,Yes
Is this program suitable for me?,Yes
Am I entitled to the National Minimum Wage?,Irrelevant
Can my Business use Centrepay?,No
Do I have the right to return to my job?,Are you taking  Shared Parental Leave?
Can I get Winter Fuel Payment?,No
Will my landlord may be asked to repay the money?,No
Can I apply to become a tax credit appointee?,Are you over 18 years of age?
Is this a digital service?,Is the service downloadable music?
Am I eligible for a Tier 4 (General) student visa?,Do you have enough money to support yourself and pay for your course?
Am I entitled to the National Minimum Wage?,Yes
Does this program meet my needs?,Yes
Will my basic State Pension will be more than £122.30 per week?,Yes
May I be able to get tax credits?,Irrelevant
Can I export this product to North Korea?,No
Can I get a low-interest loan towards my deposit?,No
Does this program meet my needs?,Yes
Am I eligible for 16 to 19 Bursary Fund?,Do you study at a publicly funded school or college?
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Can I ask for mandatory reconsideration for this benefit?,Is it for Vaccine Damage Payment?
May I be able to get tax credits?,Yes
Do I have to pay Social Security and Medicare taxes for my spouse?,Irrelevant
Can my Business use Centrepay?,Do you have licensing and accreditation?
Can I apply for Tier 4 student visa now?,Have you received confirmation of acceptance for studies?
Can I apply for Working Tax Credit?,Yes
Is this a digital service?,Yes
Can my Business use Centrepay?,Do you have cooling-off periods?
Can I export this product?,Yes
Can I claim and deal with tax credits for this person?,do they live with you?
Do I get Winter Fuel Payment automatically?,No
Can I be a designated provider for this person?,Yes
Can I get Crisis Payment?,Yes
Do I qualify for Guarantee Credit?,No
Am I eligible for the loan?,Yes
Can I use bursary to pay for this?,Irrelevant
Can I get in-work Housing Benefit?,Yes
Do I have the right to return to my job?,Irrelevant
Can I apply to bring a dependant to the UK?,Will your course last longer than 6 months?
Can I appoint a Child Support representative?,Is the person 18 years of age or older?
Do I have the right to return to my job?,Have you taken paternity leave?
Am I eligible for the loan?,No
Can Educational and Career Counseling help me?,Yes
Do I have to pay back the loan now?,No
Could I receive my widowed parent's Additional State Pension again?,Yes
Can I be on motorways or slip roads?,No
Can I reclaim the difference from HMRC?,No
Can I claim bereavement benefits?,Yes
Is a collateral required?,"Is the value of the MREIDLs over $50,000?"
Is it my responsibility to contact the office in this situation?,Yes
Am I entitled to the National Minimum Wage?,Yes
Do I qualify for Working Tax Credit?,"Is your self employed work commercial, regular and organised?"
Can I be a designated provider for this person?,Have you fully completed and printed required forms?
Is this airport manager performing all their duties?,No
Do I need to register?,Yes
Does the loan meet my needs?,Do you need a loan for longer than 25 years?
Can I be a designated provider for this person?,Yes
Can this benefit be reduced or stopped?,No
Can I get contribution-based ESA?,Irrelevant
Can this benefit reduced or stopped?,Is the benefit Industrial Injuries Exceptionally Severe Disablement Allowance (where a Disablement Pension is payable)?
Do I need to wear protective headgear?,No
Can I get a CAS?,No
Can I apply for Tier 4 student visa for this course?,Yes
Do I have to wear a seat belt?,Irrelevant
Can I reclaim the VAT?,Irrelevant
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,No
Can I ge the full amount?,No
Am I committing benefit fraud?,No
Can this benefit be reduced or stopped?,Did you commit benefit fraud?
Can I use the market value of the property when working out my gain?,Yes
Can I be a designated provider for this person?,No
Can I use Aged Care Online Claiming?,No
Does this count as work?,Yes
Do I qualify for assistance?,No
Can I get someone else's letters online?,No
Am I entitled to the apprentice rate?,Yes
Do I need a Human Services PKL certificate?,No
Can I use the loan for this expense?,Yes
Do I need a Human Services PKL certificate?,Do you have access to HPOS?
Can I export this product to North Korea?,Is it high quality leather goods?
Does tax relief apply to this?,Yes
Does the loan meet my needs?,Do you need a loan for longer than 25 years?
Can I apply to become a tax credit appointee?,No
Is it my responsibility to contact the office in this situation?,No
Can I claim bereavement benefits?,Yes
Am I eligible for 16 to 19 Bursary Fund?,Yes
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I claim bereavement benefits?,Are you in Serbia?
Can I get in-work Housing Benefit?,Irrelevant
Can I ask for mandatory reconsideration for this benefit?,Yes
Am I entitled to the correct minimum wage for my age?,Yes
Can I be classified as a worker?,"Does the business provides materials, tools or equipment you need to do the work?"
Do I have to leave the scheme?,Irrelevant
Is the 7(a) loan program for me?,Are you an American small businesses?
Does this loan meet my needs?,Do you need long term financing for the cost of aquacultural facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Does my child qualify for this benefit program?,Does your child attend a school that operates the Special Milk Program in Indiana?
Am I eligible for Head Start and Early Head Start?,No
Can I apply to bring a dependant to the UK?,Yes
Can I get an extra payment on top of my State Pension?,Irrelevant
Can I receive Clothing allowance?,Do you have a  service-connected disability?
Can I grow up to 15 plants?,Yes
Can I export this product to North Korea?,Yes
Am I entitled to the correct minimum wage,No
Should I apply for the SBA's disaster loan?,Do you need financiak assistance with repair or rebuilding?
Can my Business use Centrepay?,Will you keep records of your customer’s Centrepay payments for up to 2 years and store them securely?
Do I need a licence to export cultural goods?,Yes
Am I eligible for 16 to 19 Bursary Fund?,Are you at least 16 and under 19 on  31 August 2017?
Does tax relief apply to this?,Is it a maintenance payment?
Am I eligible for the Parenting Payment?,No
Can I submit claims using Aged Care Online Claiming?,No
Am I eligible for the SBA 7(a) program?,Does the business meet SBA size standards?
Can this benefit be reduced or stopped?,Yes
Can I ask for mandatory reconsideration for this benefit?,No
Are there special rules for exporting these chemicals?,Yes
Can my au pair be classified as a worker?,No
Do I need to use TRACES to create a commercial document?,No
Can I apply to extend my leave to study?,Yes
Can my Business use Centrepay?,No
Am I eligible for the loan?,No
Can I apply for Tier 4 student visa?,No
Can the VA help me with this purchase?,Is the purchase for an automobile?
Can I get Crisis Payment?,Yes
Do I qualify for this benefit?,Are you a  World War II Veteran as described above?
Does the SBA loan meet my needs?,Are you a business?
Can I use the market value of the property when working out my gain?,did you inherit it?
Can this farmer get a credit from the FSA farm loan program?,Yes
Do I need to contact the DWP Debt Management contact centre?,No
Can Educational and Career Counseling help me?,Yes
Am I eligible for an annual lump sum payment ot help with the costs of caring for a person with disability?,No
Does this program meet my needs?,"Do you wish to purchase, construct, or improve a home on Federal Trust land?"
Can I claim and deal with tax credits for this person?,No
Can ALE help this organisation?,Is the organisation a state or local government trying to protect working agricultural lands and limit non-agricultural uses of the land?
Do I qualify for Guarantee Credit?,Yes
Can I obtain an NADL?,No
Do I need to register?,Are you part of a family?
Do I need to apply for an EAD?,No
Does this airport need an airport manager?,Yes
Is our institution eligible?,Yes
Can I grow my own plants?,No
Do I have authority to view care recipient information?,Yes
Can I be classed as doing voluntary work?,Are you working for a statutory body?
Do I have to pay self-employment tax?,Do you work for yourself?
Am I eligible?,Are you a business owner?
Can I export this product to North Korea?,No
Can the VA help me with this purchase?,No
Will I be able to get Child Tax Credit?,Irrelevant
Can Tax Credit Office ask me to provide business records?,No
Can I access the Aged Care Online Services in my browser?,Is your browser set to allow Secure Sockets Layer (SSL)?
Will I be asked questions by this person?,Yes
Do I qualify for Guarantee Credit?,Do you live in Scotland or Wales?
Am I eligible for 16 to 19 Bursary Fund?,Are you on an unpaid training course?
Can the VA help me with this purchase?,Have you received this payment before?
Can I have a cooperative in this location?,No
Do I need to carry on paying National Insurance?,No
Can I claim tax credits?,No
Do I need to apply for an EAD?,Yes
Can I get Working Tax Credit?,Yes
Can this program help me?,Are you in a US territory
Can I claim bereavement benefits?,Yes
Can my partner and I claim working tax credit?,"Do you you work at least 16 hours a week and your partner is incapacitated (getting certain benefits because of disability or ill health), is entitled to Carer’s Allowance, or is in hospital or prison"
Can I get Crisis Payment?,Yes
Can my Business use Centrepay?,No
Can I ask for mandatory reconsideration for this benefit?,Is it an attendance allowance?
Can I apply to use Centrepay?,Irrelevant
Do I qualify for assistance?,Are you unable to obtain  credit elsewhere at reasonable rates and terms to meet actual needs?
Can I access Aged Care Online Services?,No
Can I access the Aged Care Online Services in my browser?,No
Can I provide this document?,Irrelevant
Can I apply for a regular deduction?,No
May I be able to get Working Tax Credi?,No
Is this a digital service?,Is the service video on demand?
Can I export germplasm?,No
"Can I file bankruptcy under Chapter 9, 12 or 15?",No
Can I be classed as doing voluntary work?,Are you working for a voluntary organisation or associated fund-raising body?
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,No
Can I get a CAS?,Have you  worked as a student union sabbatical officer to complete a qualification you started studying under your last Tier 4 (General) student visa?
Will I get the National Minimum Wage?,Yes
Am I eligible?,Yes
Can I get cash assistance from TANF?,Irrelevant
Am I eligible for 16 to 19 Bursary Fund?,Yes
